player_id,series_id,game_id,agent,agent_role,kills,deaths,assists,fk,fd,clutches,aces,adr,points
27,12,26,Jett,Duelist,23.0,8.0,2.0,5.0,1.0,0,0,222.0,51.2
13,12,26,Harbor,Controller,21.0,10.0,7.0,4.0,3.0,0,0,196.0,44.1
38,12,26,Viper,Controller,16.0,7.0,8.0,1.0,0.0,0,0,169.0,35.400000000000006
4,12,26,Sova,Initiator,14.0,8.0,4.0,0.0,1.0,0,0,156.0,26.6
52,12,26,Killjoy,Sentinel,7.0,10.0,3.0,2.0,1.0,0,0,79.0,14.4
6,12,27,Fade,Initiator,23.0,16.0,5.0,1.0,2.0,1,0,192.0,38.7
51,12,27,Omen,Controller,19.0,19.0,4.0,4.0,5.0,0,0,156.0,30.1
15,12,27,Breach,Initiator,12.0,15.0,13.0,0.0,0.0,0,0,95.0,20.5
35,12,27,Neon,Duelist,16.0,19.0,9.0,1.0,4.0,0,0,135.0,22.5
1,12,27,Cypher,Sentinel,10.0,19.0,9.0,2.0,4.0,1,0,120.0,19.0
27,12,27,Neon,Duelist,25.0,17.0,5.0,4.0,2.0,0,0,200.0,45.0
13,12,27,Breach,Initiator,20.0,14.0,11.0,3.0,1.0,1,0,134.0,38.9
38,12,27,Omen,Controller,17.0,12.0,13.0,2.0,1.0,1,0,130.0,35.5
4,12,27,Sova,Initiator,11.0,17.0,10.0,2.0,2.0,0,0,121.0,21.6
52,12,27,Cypher,Sentinel,15.0,20.0,8.0,4.0,2.0,0,0,112.0,26.200000000000003
46,13,28,Viper,Controller,28.0,13.0,5.0,2.0,3.0,1,0,208.0,47.8
29,13,28,Skye,Initiator,20.0,18.0,6.0,5.0,1.0,1,0,155.0,40.5
50,13,28,Neon,Duelist,15.0,16.0,5.0,3.0,7.0,0,0,137.0,22.200000000000003
54,13,28,Omen,Controller,13.0,15.0,11.0,0.0,1.0,0,0,99.0,19.9
12,13,28,Cypher,Sentinel,13.0,17.0,2.0,1.0,1.0,0,0,116.0,18.1
44,13,28,Neon,Duelist,25.0,19.0,7.0,5.0,2.0,0,0,184.0,45.400000000000006
10,13,28,Omen,Controller,18.0,16.0,7.0,2.0,2.0,1,0,141.0,31.6
32,13,28,Killjoy,Sentinel,15.0,18.0,3.0,2.0,2.0,0,0,134.0,22.9
45,13,28,Breach,Initiator,12.0,16.0,4.0,0.0,0.0,2,0,105.0,20.5
57,13,28,Gekko,Initiator,9.0,20.0,9.0,4.0,5.0,0,0,82.0,14.700000000000001
29,13,29,Kayo,Unknown,24.0,16.0,3.0,1.0,2.0,1,0,160.0,35.5
46,13,29,Omen,Controller,20.0,17.0,4.0,4.0,1.0,1,0,163.0,38.8
12,13,29,Killjoy,Sentinel,18.0,19.0,6.0,4.0,2.0,0,0,175.0,35.0
54,13,29,Harbor,Controller,11.0,17.0,5.0,1.0,3.0,0,0,105.0,14.5
50,13,29,Gekko,Initiator,9.0,19.0,12.0,1.0,4.0,0,0,96.0,13.100000000000001
